site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/2/20,RH,74,76,79,81,82,83,82,81,73,62,50,32,28,29,38,43,53,58,63,68,71,74,76,78
古亭,2021/2/21,RH,79,80,81,80,80,80,81,79,71,62,52,44,35,37,39,43,47,51,53,58,69,73,75,77
古亭,2021/2/22,RH,80,81,81,81,80,78,76,73,63,55,45,39,36,33,36,40,43,48,53,58,64,68,70,73
古亭,2021/2/23,RH,75,77,80,81,82,80,78,74,68,58,52,49,42,46,49,52,56,62,74,78,77,77,77,77
古亭,2021/2/24,RH,81,82,83,84,84,78,79,82,74,59,51,48,46,44,42,45,49,55,60,62,63,64,64,63
古亭,2021/2/25,RH,66,68,69,69,70,65,67,68,66,54,49,51,66,67,68,67,66,70,74,73,72,73,75,79
古亭,2021/2/26,RH,79,79,80,81,78,79,79,77,79,78,74,68,63,62,68,71,74,76,76,76,77,79,79,78
古亭,2021/2/27,RH,80,83,86,87,88,90,91,92,91,89,87,87,88,87,86,88,90,91,92,93,90,88,86,85
古亭,2021/2/28,RH,83,81,82,83,83,84,84,84,82,80,77,74,73,77,75,74,72,75,78,81,82,82,83,84
古亭,2021/3/1,RH,85,86,87,87,87,87,88,87,84,78,71,68,60,56,54,57,58,60,62,67,75,76,78,79
古亭,2021/3/2,RH,80,78,76,80,83,85,84,82,83,84,85,82,77,77,80,80,83,86,86,88,88,88,85,82
古亭,2021/3/3,RH,84,83,83,84,83,80,79,78,76,75,77,78,80,80,79,80,81,84,86,88,87,87,87,87
古亭,2021/3/4,RH,89,88,88,89,89,90,91,91,91,90,90,90,84,74,76,79,79,79,79,80,81,86,89,90
古亭,2021/3/5,RH,91,91,89,88,87,85,85,84,81,77,74,76,73,72,69,70,74,75,75,76,77,80,79,80
古亭,2021/3/6,RH,84,86,87,87,88,89,88,86,83,87,90,89,87,89,92,93,93,92,91,92,92,91,91,92
古亭,2021/3/7,RH,92,91,91,90,91,90,89,89,88,87,86,83,83,82,82,82,83,86,90,92,92,93,92,89
古亭,2021/3/8,RH,88,87,87,87,87,86,87,88,89,85,83,81,80,82,83,84,84,85,86,87,85,84,84,87
古亭,2021/3/9,RH,90,89,89,88,88,88,88,88,84,81,80,76,71,70,71,74,77,80,83,84,84,84,85,84
古亭,2021/3/10,RH,83,84,86,88,87,86,85,80,78,75,71,70,68,67,75,79,80,82,84,84,84,84,83,83
古亭,2021/3/11,RH,84,85,84,84,84,85,85,81,74,67,58,52,53,59,60,63,63,65,71,72,74,75,79,82
古亭,2021/3/12,RH,82,83,83,84,84,84,84,85,80,75,70,64,67,70,74,76,77,78,79,76,74,74,74,73
古亭,2021/3/13,RH,73,71,71,67,67,66,66,64,62,59,57,54,53,54,55,58,61,65,67,67,67,67,67,69
古亭,2021/3/14,RH,69,69,71,73,72,70,69,69,67,62,58,55,54,55,56,57,59,62,64,66,67,68,67,67
古亭,2021/3/15,RH,67,69,69,71,74,74,76,71,64,55,49,45,43,47,50,51,57,62,65,65,67,71,74,75
古亭,2021/3/16,RH,76,78,79,81,82,81,82,80,72,59,47,42,36,37,38,41,44,48,55,61,67,71,74,77
古亭,2021/3/17,RH,79,80,81,80,79,81,80,81,75,66,65,64,64,68,70,71,78,79,81,84,86,87,87,87
古亭,2021/3/18,RH,86,86,86,86,87,88,89,88,86,85,83,80,76,72,71,72,73,78,80,81,81,81,82,81
古亭,2021/3/19,RH,82,83,86,87,87,88,88,87,83,76,68,67,61,59,62,66,67,65,64,66,69,72,73,76
