site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/2/18,PM2.5,28,29,23,25,26,29,25,31,34,28,26,13,15,15,18,16,21,19,18,15,11,18,11,15
古亭,2021/2/19,PM2.5,19,11,14,15,13,10,17,11,11,10,9,9,8,10,10,11,12,16,13,10,11,14,12,10
古亭,2021/2/20,PM2.5,12,14,21,17,18,13,18,22,22,21,22,19,15,15,21,21,22,27,31,32,38,17,17,12
古亭,2021/2/21,PM2.5,17,12,12,11,11,15,16,20,18,16,20,25,15,28,34,35,45,48,53,49,49,42,40,43
古亭,2021/2/22,PM2.5,37,35,41,40,36,39,30,29,26,32,38,35,23,24,13,20,16,14,14,14,21,23,23,12
古亭,2021/2/23,PM2.5,14,15,18,14,13,9,5,7,8,9,5,2,2,6,5,8,8,10,21,18,12,13,18,17
古亭,2021/2/24,PM2.5,20,22,17,15,10,13,11,12,13,10,8,6,7,7,8,8,10,7,9,13,9,7,9,9
古亭,2021/2/25,PM2.5,9,6,7,6,7,11,9,7,11,9,6,15,54,70,82,78,87,64,59,56,52,49,43,55
古亭,2021/2/26,PM2.5,42,37,33,30,45,50,46,51,27,23,25,33,38,29,23,17,12,10,14,11,7,6,6,4
古亭,2021/2/27,PM2.5,5,4,4,5,4,4,5,4,5,7,5,2,3,10,9,11,9,14,12,11,8,9,8,8
古亭,2021/2/28,PM2.5,7,8,8,8,7,8,8,10,13,9,7,6,10,11,12,9,12,17,11,11,11,8,9,10
古亭,2021/3/1,PM2.5,11,9,11,10,9,16,13,8,16,24,40,65,43,18,21,27,16,18,23,25,27,23,21,21
古亭,2021/3/2,PM2.5,22,18,18,19,17,7,4,2,8,5,4,3,5,8,6,5,4,5,8,10,13,14,12,10
古亭,2021/3/3,PM2.5,15,17,15,13,16,13,11,15,13,18,16,16,9,14,12,10,12,10,8,9,7,9,8,10
古亭,2021/3/4,PM2.5,11,16,25,20,15,21,22,21,20,29,28,30,38,40,40,40,44,42,43,39,40,39,36,31
古亭,2021/3/5,PM2.5,32,32,16,14,14,10,8,6,12,14,12,10,7,15,11,13,18,12,8,10,8,9,9,14
古亭,2021/3/6,PM2.5,10,11,12,27,27,13,21,14,21,4,4,6,10,11,11,15,12,19,18,17,3,3,4,6
古亭,2021/3/7,PM2.5,9,5,0,0,0,1,2,5,3,0,3,6,10,9,8,7,6,9,8,4,3,9,6,7
古亭,2021/3/8,PM2.5,11,12,8,6,8,7,7,9,12,14,14,14,14,14,18,16,20,21,16,10,9,12,15,9
古亭,2021/3/9,PM2.5,9,6,6,8,6,7,9,9,15,15,13,17,16,16,16,14,15,14,16,15,20,18,17,12
古亭,2021/3/10,PM2.5,18,13,16,7,6,10,13,14,17,16,13,16,14,12,14,15,12,16,20,18,22,15,18,15
古亭,2021/3/11,PM2.5,15,15,16,16,14,14,12,14,15,11,8,14,24,28,29,34,32,43,44,44,53,54,34,30
古亭,2021/3/12,PM2.5,26,20,23,35,36,22,26,41,49,53,43,30,21,19,18,19,18,21,22,24,19,18,15,15
古亭,2021/3/13,PM2.5,14,15,14,11,7,13,12,10,12,9,8,9,11,10,11,12,16,16,13,11,16,14,11,11
古亭,2021/3/14,PM2.5,15,17,16,13,16,18,17,17,16,19,17,21,22,19,18,19,21,25,23,20,23,19,16,16
古亭,2021/3/15,PM2.5,19,15,20,15,17,16,17,20,20,15,13,10,18,25,35,42,53,50,46,50,53,38,23,16
古亭,2021/3/16,PM2.5,21,17,15,16,15,18,16,11,15,17,21,16,12,22,26,18,17,21,27,22,21,18,19,19
古亭,2021/3/17,PM2.5,22,15,17,22,19,21,18,18,24,34,36,33,26,30,35,37,19,15,16,15,17,23,21,19
古亭,2021/3/18,PM2.5,18,22,27,25,29,26,20,28,26,27,33,41,35,39,33,36,32,21,21,31,25,40,33,30
古亭,2021/3/19,PM2.5,33,43,46,34,40,40,40,32,42,49,56,45,40,33,33,27,26,29,29,32,33,32,32,28
古亭,2021/3/20,PM2.5,36,23,24,21,25,24,23,25,27,35,33,28,31,23,22,23,21,26,27,33,25,20,12,11
